Código do Município,POP_TOT - População total do município do ano de referência (Fonte: IBGE):,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG004 - Quantidade de ligações ativas de água micromedidas,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG008 - Volume de água micromedido,AG010 - Volume de água consumido,AG011 - Volume de água faturado,AG012 - Volume de água macromedido,AG024 - Volume de serviço,AG026 - População urbana atendida com abastecimento de água,AG028 - Consumo total de energia elétrica nos sistemas de água,IN001 - Densidade de economias de água por ligação,IN002 - Índice de produtividade: economias ativas por pessoal próprio,IN003 - Despesa total com os serviços por m3 faturado,IN008 - Despesa média anual por empregado,IN009 - Índice de hidrometração,IN010 - Índice de micromedição relativo ao volume disponibilizado,IN011 - Índice de macromedição,IN012 - Indicador de desempenho financeiro,IN013 - Índice de perdas faturamento,IN018 - Quantidade equivalente de pessoal total,IN020 - Extensão da rede de água por ligação,IN022 - Consumo médio percapita de água,IN023 - Índice de atendimento urbano de água,IN026 - Despesa de exploração por m3 faturado,IN028 - Índice de faturamento de água,IN029 - Índice de evasão de receitas,IN030 - Margem da despesa de exploração,IN031 - Margem da despesa com pessoal próprio,IN032 - Margem da despesa com pessoal total (equivalente),IN033 - Margem do serviço da divida,,IN035 - Participação da despesa com pessoal próprio nas despesas de exploração,IN036 - Participação da despesa com pessoal total (equivalente) nas despesas de exploração,IN037 - Participação da despesa com energia elétrica nas despesas de exploração,IN038 - Participação da despesa com produtos químicos nas despesas de exploração (DEX),IN039 - Participação das outras despesas nas despesas de exploração,IN044 - Índice de micromedição relativo ao consumo,IN045 - Índice de produtividade: empregados próprios por 1000 ligações de água,IN048 - Índice de produtividade: empregados próprios por 1000 ligações de água + esgoto,IN049 - Índice de perdas na distribuição,IN050 - Índice bruto de perdas lineares,IN051 - Índice de perdas por ligação,IN052 - Índice de consumo de água,IN055 - Índice de atendimento total de água,IN058 - Índice de consumo de energia elétrica em sistemas de abastecimento de água,IN060 - Índice de despesas por consumo de energia elétrica nos sistemas de água e esgotos,IN076 - Incidência das análises de turbidez fora do padrão,IN080 - Índice de conformidade da quantidade de amostras - turbidez,IN083 - Duração média dos serviços executados,IN101 - Índice de suficiência de caixa,IN102 - Índice de produtividade de pessoal total (equivalente)
250300,21828,4749,1244,252,"21,75","155,46","33,18","148,93","155,46",0,0,4140,"160,49",1,"151,94","1,72","19457,23","21,55","21,34",0,"132,24",0,"11,23","12,51","81,79","22,01","1,62",100,"16,37","71,09","44,05","61,84",0,"8,23","61,97","86,99",0,"1,11","11,58","22,28","6,58","6,58","4,2","0,82","14,72","95,8","21,76","1,03",0,0,100,"0,3","129,17","108,23"
420880,20024,5252,4073,4073,"67,14","373,02","262,68","262,68","572,4","373,02",0,3083,"164,49","1,05","390,45","3,56","42701,56",100,"70,42",100,"128,36","-53,45","18,53","15,61","137,03","20,17","3,24","153,45","4,91","70,96","17,98","30,29","4,56","17,46","25,33","42,69","7,17","2,67","24,6",100,"2,7","2,7","29,58","4,5","74,22","70,42","26,23","0,44","0,81",0,"139,87",2,"130,09","219,75"
432340,4358,4353,1908,1908,"104,02","170,9",160,160,196,0,0,2319,342,1,"953,25","3,21","64407,76",100,"93,62",0,"81,29","-14,69","4,17","54,56","100,7","99,87","2,89","114,69",0,"110,76","25,15","52,37","8,94",0,"22,71","47,29","52,71",0,0,100,"1,05","1,05","6,38","0,29","15,67","93,62","99,89",2,"0,87",0,100,1,"83,54","457,49"
210255,14374,14374,3671,271,50,2940,38,2940,1126,0,,11419,600,"1,01","155,81","1,88","41871,78","6,76","1,29",0,"98,87","61,7","32,28","10,71","563,41",100,"1,88","38,3",0,"101,14","46,94","64,48",0,"14,33","46,41","63,75","21,83","0,25","14,17","1,29","6,45","6,45",0,0,0,100,100,"0,2","0,77",0,100,"1,04","98,87","112,8"
420075,1937,1200,350,350,28,"77,71","61,2","61,2","61,2","77,71",0,584,0,1,"339,5","2,4","45064,38",100,"78,75",100,"99,7","21,25","2,19","75,07","139,73",100,"2,4","78,75",0,"100,3","30,82","67,36",0,0,"30,73","67,16","31,44","1,4",0,100,"2,95","2,95","21,25","1,62","133,23","78,75","61,95",0,,0,100,"1,2","99,7","155,34"
220045,5419,4519,1306,0,"37,4",492,0,457,410,492,0,1950,48,"1,1","284,7","0,56",27800,0,0,100,"79,86","16,67","5,04","13,57","280,07","98,29","0,45","83,33","-1,06","100,54","75,54","76,11",0,"2,19","75,14","75,7","18,78","2,65","2,18",0,"3,87","3,87","7,11","2,71","74,22","92,89","83,39","0,1","0,72","8,89",100,"2,18","101,31","256,46"
430258,2123,2123,718,718,"10,5",220,206,206,"43,03",0,,607,"45,49","1,01",716,"2,61","28753,55",100,"93,64",0,"59,93","80,44","2,87","14,44","265,09",100,"2,61","19,56",0,"166,86","42,77","122,85",0,0,"25,63","73,62","26,38",0,0,100,"1,41","1,41","6,36","3,65","54,06","93,64",100,"0,21","0,65",0,100,"2,67","59,93",247
430471,8270,7950,2700,2092,118,574,340,480,340,0,"0,1",1158,"762,27",1,875,"2,95","81663,52","76,99","59,24",0,"110,38","40,76","4,77","35,83","166,33","96,74","2,95","59,24",0,"90,6","22,16","35,23",0,0,"24,46","38,89","61,11",0,0,"70,83","1,14","1,14","16,36","2,19",98,"83,64","96,13","1,33","0,8",0,"109,26","0,21","110,38","550,37"
230185,18197,9780,3101,3075,33,"472,65","262,69","366,75","472,65",0,0,9120,"285,52",1,"504,42","2,05","83264,57","99,12","55,58",0,"107,03",0,"8,81","7,38","103,8","99,14","2,05",100,0,"93,43","48,08","70,59",0,0,"51,46","75,56","19,41","4,06",0,"71,63","1,98","1,98","22,41","10,36","95,9","77,59","53,75","0,6","0,66","1,22",95,"1,23","107,03","343,44"
250870,4009,1565,918,1,"6,98",86,0,85,86,0,1,1565,"7,2",1,"306,33","1,99",17200,"0,11",0,0,"99,88",0,"3,09","7,35","148,8",100,"1,17",100,"37,14","59,06","30,18","31,05",0,"4,04","51,09","52,57","5,94","4,95","6,83",0,"3,27","3,27","1,16","0,39","2,98","98,84","39,04","0,08","0,83","8,33",100,"1,5","130,69","297,36"
